,temperature
1545,19.469
1546,19.272
1547,20.162
1548,20.491
1549,20.3
1550,19.167
1551,16.748
1552,17.006
1553,14.95
1554,14.955
1555,13.886
1556,13.354
1557,13.625
1558,13.511
1559,
1560,11.1
1561,11.2
1562,8.4
1563,8.1
1564,7.3
1565,4.2
1566,3.4
1567,5.6
1568,6.2
1569,6.3
1570,4.8
1571,3.8
1572,4.1
1573,3.6
1574,4.3
1575,5
1576,4
1577,3.2635
1578,4.3587
1579,6.2546
1580,6.776
1581,6.6681
1582,7.1084
1583,
1584,7.3556
1585,9.1113337045
1586,9.0761
1587,11.134548585
1588,
1589,13.0082953734
1590,
1591,
1592,
1593,
1594,
1595,16.964
1596,
1597,19.247
1598,18.579
1599,
1600,
1601,18.807
1602,20.359
1603,20.941
1604,19.631
1605,19.22
1606,19.173
1607,16.266
1608,
1609,15.186
1610,
1611,13.907
1612,13.323
1613,
1614,13.171
1615,12.686
1616,11.5
1617,10.1
1618,8.5
1619,7.5
1620,6.2
1621,3.1
1622,4.3
1623,5.2
